id,stage,spoke,act,text,source,workstream,psych_axis
55,approach,7,initiation,I structure my day so the important work happens first.,core,core,chaos_vs_structure
56,approach,7,initiation,I stop seeking intensity and start seeking consistency.,core,core,chaos_vs_structure
57,approach,7,initiation,"I measure progress with outputs, not feelings.",core,core,chaos_vs_structure
58,approach,7,initiation,I decide what 'done' looks like before I begin.,core,core,chaos_vs_structure
59,approach,7,initiation,I create a repeatable workflow instead of improvising daily.,core,core,chaos_vs_structure
60,approach,7,initiation,I move from ambition to implementation.,core,core,chaos_vs_structure
61,ordeal,8,initiation,Everything falls apart and I learn what matters.,core,core,comfort_vs_truth
62,ordeal,8,initiation,I face the part of me that wants to self-sabotage.,core,core,comfort_vs_truth
63,ordeal,8,initiation,I hit a low and choose not to abandon myself.,core,core,comfort_vs_truth
64,ordeal,8,initiation,I confront shame without letting it steer.,core,core,comfort_vs_truth
65,ordeal,8,initiation,I stop outsourcing my worth and stand on my own.,core,core,comfort_vs_truth
66,ordeal,8,initiation,I tolerate discomfort long enough for it to transform.,core,core,comfort_vs_truth
67,ordeal,8,initiation,I feel grief and keep moving forward.,core,core,comfort_vs_truth
68,ordeal,8,initiation,I accept the cost of growth instead of resenting it.,core,core,comfort_vs_truth
69,ordeal,8,initiation,I let old identities die so new ones can form.,core,core,comfort_vs_truth
70,ordeal,8,initiation,I discover that I can endure more than I thought.,core,core,comfort_vs_truth
71,reward,9,initiation,I get a win that proves the work is real.,core,core,practice_vs_fantasy
72,reward,9,initiation,I see evidence: the system is producing results.,core,core,practice_vs_fantasy
73,reward,9,initiation,I feel pride without needing anyone else to validate it.,core,core,practice_vs_fantasy
74,reward,9,initiation,I notice I'm calmer because I'm aligned.,core,core,practice_vs_fantasy
75,reward,9,initiation,I earn confidence through repetition.,core,core,practice_vs_fantasy
76,reward,9,initiation,"I experience competence: I can build, test, ship.",core,core,practice_vs_fantasy
77,reward,9,initiation,I feel power that comes from integrity.,core,core,practice_vs_fantasy
78,reward,9,initiation,I recognize that I am becoming reliable to myself.,core,core,practice_vs_fantasy
79,reward,9,initiation,I enjoy the quiet satisfaction of progress.,core,core,practice_vs_fantasy
80,reward,9,initiation,I see that my future is being built by my habits.,core,core,practice_vs_fantasy
81,return,10,return,I bring what I've learned back into daily life.,core,core,practice_vs_fantasy
82,return,10,return,I stop treating growth as a phase and make it a baseline.,core,core,practice_vs_fantasy
83,return,10,return,"I integrate the lessons into how I work, love, and live.",core,core,practice_vs_fantasy
84,return,10,return,I share the framework in a way that helps others.,core,core,practice_vs_fantasy
85,return,10,return,I turn the insights into a practical tool.,core,core,practice_vs_fantasy
86,return,10,return,I keep the standards even when no one is watching.,core,core,practice_vs_fantasy
87,return,10,return,I choose long-term alignment over short-term comfort.,core,core,practice_vs_fantasy
88,return,10,return,I refine the system so it survives busy weeks.,core,core,practice_vs_fantasy
89,return,10,return,I build a life that matches the man I claim to be.,core,core,practice_vs_fantasy
90,return,10,return,I act like the future is already underway.,core,core,practice_vs_fantasy
91,integration,11,return,I stop performing and start listening to myself.,core,core,numbness_vs_presence
92,integration,11,return,I can feel the difference between ego and instinct.,core,core,numbness_vs_presence
93,integration,11,return,I respond instead of react.,core,core,numbness_vs_presence
94,integration,11,return,I let my body lead when my mind spirals.,core,core,numbness_vs_presence
95,integration,11,return,"I treat emotions as signals, not commands.",core,core,numbness_vs_presence
96,integration,11,return,I hold boundaries without hostility.,core,core,numbness_vs_presence
97,integration,11,return,I choose presence over tactics.,core,core,numbness_vs_presence
98,integration,11,return,I trust myself more because I keep promises to myself.,core,core,numbness_vs_presence
99,integration,11,return,I can be intense without being compulsive.,core,core,numbness_vs_presence
100,integration,11,return,I become congruent: my values and actions match.,core,core,numbness_vs_presence
101,elixir,12,return,I return with something useful for others.,core,core,practice_vs_fantasy
102,elixir,12,return,I turn my story into a tool someone else can use.,core,core,image_vs_integrity
103,elixir,12,return,I explain the path without pretending it's easy.,core,core,fear_vs_action
104,elixir,12,return,"I teach what I practiced, not what I fantasized.",core,core,control_vs_autonomy
105,elixir,12,return,"I build artifacts—code, notes, systems—that outlast moods.",core,core,practice_vs_fantasy
106,elixir,12,return,I model grounded confidence instead of selling hype.,core,core,chaos_vs_structure
107,elixir,12,return,I help others cross their threshold with clarity.,core,core,ego_vs_service
108,elixir,12,return,I contribute work that proves my competence.,core,core,domination_vs_compassion
109,elixir,12,return,I share the map while honoring each person's journey.,core,core,certainty_vs_trust
110,elixir,12,return,I leave something behind that makes the world slightly better.,core,core,image_vs_integrity
111,refusal,3,departure,"I sense the world is staged, but I can’t yet name what’s wrong.",matrix,story,projection_vs_ownership
112,call,2,departure,"A stranger offers a choice: comfort in the story, or truth with consequences.",matrix,story,fear_vs_action
113,threshold,5,departure,I choose the red pill: I’d rather know than cope.,matrix,story,attachment_vs_love
114,threshold,5,departure,The old reality breaks; I realize I was living inside an operating system.,matrix,story,practice_vs_fantasy
115,tests,6,initiation,I accept that freedom feels like fear at first.,matrix,story,control_vs_autonomy
116,tests,6,initiation,I train daily: repetition turns chaos into skill.,matrix,story,ego_vs_discipline
117,tests,6,initiation,I meet resistance that wants me asleep; I stop negotiating with it.,matrix,story,image_vs_integrity
118,tests,6,initiation,"I learn to read the code: patterns, incentives, and hidden rules.",matrix,story,ego_vs_service
119,approach,7,initiation,I stop asking ‘am I ready?’ and start asking ‘what’s the next move?’,matrix,story,comfort_vs_truth
120,integration,11,return,I become the kind of person who can hold truth without collapsing.,matrix,story,numbness_vs_presence
121,refusal,3,departure,I feel numb in a life that looks fine on paper.,fight_club,story,fear_vs_action
122,refusal,3,departure,I notice I’m buying an identity instead of building one.,fight_club,story,image_vs_integrity
123,call,2,departure,I meet a shadow-teacher: the part of me that refuses to be domesticated.,fight_club,story,practice_vs_fantasy
124,threshold,5,departure,I choose pain over numbness; sensation becomes a doorway back to myself.,fight_club,story,projection_vs_ownership
125,tests,6,initiation,I learn the difference between performance and presence.,fight_club,story,ego_vs_discipline
126,tests,6,initiation,"I stop outsourcing my meaning to approval, status, or romance.",fight_club,story,control_vs_autonomy
127,ordeal,8,initiation,I face the split inside: the actor vs the one who actually wants.,fight_club,story,domination_vs_compassion
128,integration,11,return,I take responsibility for my shadow instead of letting it run the show.,fight_club,story,certainty_vs_trust
129,approach,7,initiation,"I build discipline: small acts of integrity, repeated, become identity.",fight_club,story,image_vs_integrity
130,return,10,return,I choose creation over destruction: rebuild the self without burning the world.,fight_club,story,practice_vs_fantasy
131,refusal,3,departure,"I inherit a story about who I am, and it doesn’t fit anymore.",kingdom_of_heaven,story,attachment_vs_love
132,call,2,departure,A mentor calls me to a higher standard: ‘be better than your past.’,kingdom_of_heaven,story,numbness_vs_presence
133,threshold,5,departure,I leave the familiar to pursue a harder kind of honor.,kingdom_of_heaven,story,ego_vs_service
134,allies,6,initiation,"I learn leadership is service, not dominance.",kingdom_of_heaven,story,image_vs_integrity
135,ordeal,8,initiation,I hold the line when fear says run.,kingdom_of_heaven,story,fear_vs_action
136,integration,11,return,"I choose mercy over ego, even when it costs me.",kingdom_of_heaven,story,chaos_vs_structure
137,reward,9,initiation,I protect people who can’t protect themselves; my values become real.,kingdom_of_heaven,story,mentorship_vs_dependence
138,tests,6,initiation,I negotiate with power without selling my soul.,kingdom_of_heaven,story,domination_vs_compassion
139,ordeal,8,initiation,I accept loss without losing my integrity.,kingdom_of_heaven,story,projection_vs_ownership
140,return,10,return,"I return changed: not a legend, but a man who keeps his vow.",kingdom_of_heaven,story,practice_vs_fantasy
141,refusal,3,departure,"I sense the set is too perfect, but I keep smiling for the cameras.",truman,story,image_vs_integrity
142,call,2,departure,A crack appears in the world; I can’t unsee that my life might be staged.,truman,story,certainty_vs_trust
143,threshold,5,departure,I test the boundaries of the script and choose truth over comfort.,truman,story,control_vs_autonomy
144,tests,6,initiation,The system pushes back; I learn that freedom requires sustained courage.,truman,story,ego_vs_discipline
145,approach,7,initiation,I stop asking for permission and start planning my exit with calm precision.,truman,story,comfort_vs_truth
146,ordeal,8,initiation,I face the fear designed to keep me small and walk through it anyway.,truman,story,image_vs_integrity
147,return,10,return,"I step into the unknown: no applause, just a real life I choose.",truman,story,practice_vs_fantasy
148,refusal,3,departure,"I tell myself it’s just a dream, because doubt is safer than responsibility.",inception,story,fear_vs_action
149,call,2,departure,A mission appears: plant an idea that could change everything.,inception,story,domination_vs_compassion
150,threshold,5,departure,"I accept the deeper layer: to build reality, I must face my own mind.",inception,story,ego_vs_service
151,tests,6,initiation,I run drills in layers of pressure; skill replaces panic.,inception,story,projection_vs_ownership
152,allies,6,initiation,I assemble a team where each strength covers another’s weakness.,inception,story,numbness_vs_presence
153,approach,7,initiation,I design the plan down to the timing: structure becomes sanity.,inception,story,attachment_vs_love
154,ordeal,8,initiation,I confront the memory that sabotages me and refuse to let it steer.,inception,story,image_vs_integrity
155,integration,11,return,"I choose a grounded inner compass: I can’t control reality, but I can choose integrity.",inception,story,practice_vs_fantasy
156,return,10,return,"I come back changed: less attached to certainty, more committed to what I build.",inception,story,ego_vs_discipline
157,refusal,3,departure,"I play along with the story I’m sold, even when it smells like rot.",la_confidential,story,control_vs_autonomy
158,call,2,departure,I see the corruption behind the badge; the truth demands a price.,la_confidential,story,certainty_vs_trust
159,threshold,5,departure,I stop performing loyalty and start investigating what power hides.,la_confidential,story,fear_vs_action
160,tests,6,initiation,Every clue creates enemies; I learn to move quietly and verify everything.,la_confidential,story,domination_vs_compassion
161,allies,6,initiation,I find unlikely partners: integrity can be shared even among rivals.,la_confidential,story,ego_vs_service
162,ordeal,8,initiation,"I face the cost of truth: reputation, safety, and the comfort of lies.",la_confidential,story,image_vs_integrity
163,reward,9,initiation,The pattern snaps into focus; I can finally name what’s really happening.,la_confidential,story,practice_vs_fantasy
164,return,10,return,I choose justice over image and walk forward with my conscience intact.,la_confidential,story,projection_vs_ownership
165,refusal,3,departure,I cling to ordinary rules because wonder feels like losing control.,alice,story,numbness_vs_presence
166,call,2,departure,I follow the impossible: curiosity becomes the doorway.,alice,story,comfort_vs_truth
167,threshold,5,departure,I fall into the unknown and let the old map dissolve.,alice,story,ego_vs_discipline
168,tests,6,initiation,Nothing behaves ‘properly’; I learn to adapt instead of argue.,alice,story,control_vs_autonomy
169,allies,6,initiation,I meet strange guides and realize wisdom can look eccentric.,alice,story,attachment_vs_love
170,ordeal,8,initiation,I face the part of me that doubts my right to take up space.,alice,story,practice_vs_fantasy
171,integration,11,return,"I remember who I am: not the role, but the chooser.",alice,story,image_vs_integrity
172,return,10,return,I carry wonder back to the real world and act with more courage.,alice,story,fear_vs_action
173,refusal,3,departure,I stay in sepia comfort because color feels too big for me.,oz,story,domination_vs_compassion
174,call,2,departure,A storm lifts me: life interrupts my plan and offers an adventure.,oz,story,ego_vs_service
175,threshold,5,departure,I arrive in a strange land and realize I must walk the road myself.,oz,story,projection_vs_ownership
176,allies,6,initiation,I gather companions; each of us wants what we think we lack.,oz,story,chaos_vs_structure
177,tests,6,initiation,We face tricks and threats that test whether we’ll quit or keep moving.,oz,story,practice_vs_fantasy
178,ordeal,8,initiation,"The illusion shatters: the ‘wizard’ is just a man, and I must own my power.",oz,story,certainty_vs_trust
179,integration,11,return,"I learn the gift was always within: heart, courage, mind, and home.",oz,story,image_vs_integrity
180,return,10,return,I go back with a new lens: I can choose my life without needing a savior.,oz,story,numbness_vs_presence
181,allies,6,initiation,"The Hospitalier speaks calm courage into me: ‘When you stand before God, you cannot say you weren’t shown mercy.’",kingdom_of_heaven,story,attachment_vs_love
182,tests,6,initiation,I watch the Hospitalier hold steady under chaos; I learn composure is a weapon.,kingdom_of_heaven,story,ego_vs_discipline
183,approach,7,initiation,"The Hospitalier reminds me: build the defense, not the legend—do the work that saves lives.",kingdom_of_heaven,story,control_vs_autonomy
184,ordeal,8,initiation,"In the darkest hour, the Hospitalier refuses despair; I borrow his steadiness to keep fighting.",kingdom_of_heaven,story,fear_vs_action
185,integration,11,return,"‘If God does not love you, how could you have done all these things that you have done?’—I let that land as permission to forgive myself.",kingdom_of_heaven,story,domination_vs_compassion
186,reward,9,initiation,"I feel a clean dignity: my actions were real, and that matters more than my doubts.",kingdom_of_heaven,story,image_vs_integrity
187,return,10,return,"I carry the Hospitalier’s standard back with me: honor isn’t an emotion, it’s a practice.",kingdom_of_heaven,story,projection_vs_ownership
188,elixir,12,return,I pass on the lesson: mercy and discipline can coexist; you can be fierce without being cruel.,kingdom_of_heaven,story,practice_vs_fantasy
189,refusal,3,departure,I tell myself the darkness is ‘just stories’—but I feel it watching from the edges.,WAKE,story,ego_vs_service
190,call,2,departure,"A message arrives from the deep: write, or be written by the nightmare.",WAKE,story,comfort_vs_truth
191,threshold,5,departure,I step into the overlap—reality bends and I accept that the rules have changed.,WAKE,story,numbness_vs_presence
192,tests,6,initiation,"I learn to survive the loop: light, timing, and focus become my daily training.",WAKE,story,practice_vs_fantasy
193,tests,6,initiation,The story fights back; every attempt teaches me what the darkness exploits.,WAKE,story,image_vs_integrity
194,allies,6,initiation,I link up with others trapped in the same myth; we trade clues instead of coping alone.,WAKE,story,fear_vs_action
195,approach,7,initiation,"I map the pattern: scenes, triggers, objectives—structure gives me a way through.",WAKE,story,domination_vs_compassion
196,ordeal,8,initiation,I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,WAKE,story,ego_vs_discipline
197,ordeal,8,initiation,I confront the shadow that wears my face; I stop bargaining and name it.,WAKE,story,control_vs_autonomy
198,reward,9,initiation,A breakthrough: the narrative snaps—what felt random becomes readable.,WAKE,story,certainty_vs_trust
199,return,10,return,"I bring the clarity back to daylight: I can’t control every frame, but I can choose the next line.",WAKE,story,attachment_vs_love
200,integration,11,return,I hold fear without letting it steer; presence becomes brighter than panic.,WAKE,story,numbness_vs_presence
201,elixir,12,return,"I turn the ordeal into a tool: writing as disciplined practice, not escapism.",WAKE,story,practice_vs_fantasy
202,tests,6,initiation,I stop chasing the perfect ending and start making clean moves under pressure.,WAKE,story,practice_vs_fantasy
203,approach,7,initiation,I treat the work like a ritual: small consistent actions that keep the darkness from taking ground.,WAKE,story,chaos_vs_structure
204,integration,11,return,"I become the author again—no longer possessed by the plot, but participating consciously.",WAKE,story,control_vs_autonomy
205,refusal,3,departure,I tell myself Gotham isn’t my problem anymore; hiding feels safer than choosing the cowl.,Batman,story,control_vs_autonomy
206,call,2,departure,The city shows me the cost of my comfort—someone has to stand up.,Batman,story,ego_vs_service
207,threshold,5,departure,I cross into the underworld of training; fear becomes a teacher instead of a jailer.,Batman,story,fear_vs_action
208,tests,6,initiation,"I learn the discipline behind the symbol: repetition, restraint, and control.",Batman,story,ego_vs_discipline
209,allies,6,initiation,I accept guidance from mentors and allies; I stop pretending I can do it alone.,Batman,story,mentorship_vs_dependence
210,approach,7,initiation,"I build the tools and the code: the mission needs structure, not ego.",Batman,story,chaos_vs_structure
211,ordeal,8,initiation,"I face the chaos that can’t be reasoned with; the Joker tests my integrity, not my strength.",Batman,story,domination_vs_compassion
212,ordeal,8,initiation,I take the fall so the symbol survives; I choose responsibility over reputation.,Batman,story,ego_vs_service
213,reward,9,initiation,A hard-won truth: being good isn’t being liked—it’s doing what’s necessary.,Batman,story,image_vs_integrity
214,return,10,return,I come back from exile and pain; I move again even when the body protests.,Batman,story,fear_vs_action
215,integration,11,return,I hold the paradox: a symbol can be both mercy and threat—used with intention.,Batman,story,domination_vs_compassion
216,elixir,12,return,I pass on the lesson: build systems that outlive you; courage is contagious.,Batman,story,ego_vs_service
217,refusal,3,departure,I cling to comfort and status; I don’t want the world to change me.,samurai,story,control_vs_autonomy
218,call,2,departure,A new land calls me into a conflict I don’t understand; I’m needed where I’m weakest.,samurai,story,fear_vs_action
219,threshold,5,departure,I enter the samurai world; my old identity starts to crack.,samurai,story,image_vs_integrity
220,tests,6,initiation,"Training strips me down: posture, breath, repetition—no shortcuts.",samurai,story,practice_vs_fantasy
221,allies,6,initiation,I find respect in those I feared; discipline becomes a bridge.,samurai,story,ego_vs_service
222,approach,7,initiation,I stop performing and start learning; humility becomes my weapon.,samurai,story,ego_vs_discipline
223,ordeal,8,initiation,"In battle and loss, I face what my life has been built on; the old story dies.",samurai,story,image_vs_integrity
224,reward,9,initiation,A quiet honor arrives: I can stand in my own skin without applause.,samurai,story,image_vs_integrity
225,return,10,return,"I return carrying a new standard: presence, duty, and restraint.",samurai,story,ego_vs_discipline
226,integration,11,return,‘No mind’ becomes real: I act cleanly without the chatter taking the wheel.,samurai,story,numbness_vs_presence
227,elixir,12,return,I pass on what I learned: mastery is inner stillness under pressure.,samurai,story,practice_vs_fantasy
228,refusal,3,departure,I want the crown without the cross; I resist surrender and try to control outcomes.,christ,story,control_vs_autonomy
229,call,2,departure,"I’m called into the desert of truth: serve, not be served.",christ,story,ego_vs_service
230,threshold,5,departure,I step into ministry; the path becomes public and costly.,christ,story,image_vs_integrity
231,tests,6,initiation,"Temptations come as shortcuts: power, spectacle, certainty—each one refused.",christ,story,control_vs_autonomy
232,allies,6,initiation,"I gather imperfect disciples; love becomes practiced, not theoretical.",christ,story,mentorship_vs_dependence
233,approach,7,initiation,I walk toward Jerusalem knowing the cost; courage is obedience.,christ,story,fear_vs_action
234,ordeal,8,initiation,The crucifixion: everything is stripped away; I endure without abandoning love.,christ,story,domination_vs_compassion
235,reward,9,initiation,Resurrection: life returns with meaning; despair is not the final word.,christ,story,certainty_vs_trust
236,return,10,return,"I return to my people with peace, not vengeance; wounds become testimony.",christ,story,domination_vs_compassion
237,integration,11,return,I embody mercy and truth together; strength becomes gentleness.,christ,story,domination_vs_compassion
238,elixir,12,return,The commission: carry the message outward—hope made practical.,christ,story,ego_vs_service
239,refusal,3,departure,I want to stay a kid forever; responsibility feels like a trap.,DBZ,story,practice_vs_fantasy
240,call,2,departure,A new threat arrives; my limits are exposed and the work begins.,DBZ,story,fear_vs_action
241,threshold,5,departure,I commit to training; the body becomes the dojo and discipline becomes daily.,DBZ,story,practice_vs_fantasy
242,tests,6,initiation,"Every arc is a trial: gravity, technique, timing—failure is data.",DBZ,story,practice_vs_fantasy
243,allies,6,initiation,I train with rivals and friends; competition becomes collaboration.,DBZ,story,ego_vs_service
244,approach,7,initiation,"I prepare for the big fight: strategy, recovery, and focus—not just hype.",DBZ,story,chaos_vs_structure
245,ordeal,8,initiation,I meet an enemy that forces transformation; the old self can’t win.,DBZ,story,image_vs_integrity
246,reward,9,initiation,Power unlocks through sacrifice and love; strength becomes purposeful.,DBZ,story,ego_vs_service
247,return,10,return,I return to ordinary life with new capacity; calm becomes a flex.,DBZ,story,image_vs_integrity
248,integration,11,return,I accept that growth is endless; identity is built by reps.,DBZ,story,practice_vs_fantasy
249,elixir,12,return,I teach the next generation: train your spirit as much as your power.,DBZ,story,mentorship_vs_dependence
250,refusal,3,departure,I rage against limits; I want heaven’s status without heaven’s wisdom.,journey_west,story,control_vs_autonomy
251,call,2,departure,A mission appears: protect the pilgrimage—turn chaos into service.,journey_west,story,ego_vs_service
252,threshold,5,departure,I’m bound to the path; freedom now means commitment.,journey_west,story,control_vs_autonomy
253,tests,6,initiation,"Demons, illusions, and ego traps: each one exposes my impatience.",journey_west,story,image_vs_integrity
254,allies,6,initiation,A strange crew forms; difference becomes strength when we stay aligned.,journey_west,story,ego_vs_service
255,approach,7,initiation,I learn restraint: power without discipline becomes disaster.,journey_west,story,ego_vs_discipline
256,ordeal,8,initiation,I face the part of me that wants worship; I choose the work over attention.,journey_west,story,image_vs_integrity
257,reward,9,initiation,A clearer mind emerges: humor and humility replace arrogance.,journey_west,story,ego_vs_service
258,return,10,return,"I bring the lesson back: enlightenment is practice, not a trophy.",journey_west,story,practice_vs_fantasy
259,integration,11,return,I hold both mischief and compassion; the trickster becomes a guardian.,journey_west,story,domination_vs_compassion
260,elixir,12,return,I pass on the teaching: the wild mind can be trained to serve truth.,journey_west,story,practice_vs_fantasy
261,refusal,3,departure,"My chest tightens and I call it logic; it’s actually fear of exposure.",core,lmb,numbness_vs_presence
262,refusal,3,departure,"I scroll instead of breathing; the freeze response wears the mask of productivity.",core,lmb,numbness_vs_presence
263,refusal,3,departure,"I over-plan the feature because shipping would make the feedback real.",core,career,fear_vs_action
264,call,2,departure,"The body signals before the mind agrees: shallow breath means something must change.",core,lmb,numbness_vs_presence
265,call,2,departure,"A failing test suite shows me where discipline is missing; the bug is instructional.",core,career,practice_vs_fantasy
266,call,2,departure,"I realize the relationship pattern repeats; the common variable is my avoidance.",core,dating,projection_vs_ownership
267,threshold,5,departure,"I push the commit even though my stomach flips; action recalibrates the nervous system.",core,career,fear_vs_action
268,threshold,5,departure,"I state a boundary calmly; my voice shakes but I don’t retract it.",core,dating,fear_vs_action
269,threshold,5,departure,"I choose the workout when the mind negotiates; the body crosses first.",core,fitness,practice_vs_fantasy
270,tests,6,initiation,"An incident hits production; I stay with the logs instead of blaming people.",core,career,projection_vs_ownership
271,tests,6,initiation,"I feel the urge to fawn; I breathe and return to center before replying.",core,lmb,mentorship_vs_dependence
272,tests,6,initiation,"I iterate the release plan; constraints refine the architecture.",core,career,chaos_vs_structure
273,allies,6,initiation,"A mentor critiques my draft; I integrate the signal without collapsing.",core,career,mentorship_vs_dependence
274,allies,6,initiation,"I choose friends who challenge my delusion, not those who soothe it.",core,lmb,ego_vs_service
275,approach,7,initiation,"I define ‘done’ for this sprint; ambiguity is replaced with criteria.",core,career,chaos_vs_structure
276,approach,7,initiation,"I design rituals—sleep, lifting, journaling—that reduce chaos before it starts.",core,fitness,practice_vs_fantasy
277,ordeal,8,initiation,"I sit in the urge to self-sabotage and refuse to act it out.",core,lmb,fear_vs_action
278,ordeal,8,initiation,"A relationship ends; I grieve without rewriting the story to make me innocent.",core,dating,projection_vs_ownership
279,ordeal,8,initiation,"The deploy fails publicly; I own the mistake and draft the postmortem.",core,career,image_vs_integrity
280,reward,9,initiation,"My breath deepens under pressure; composure becomes embodied proof.",core,lmb,numbness_vs_presence
281,reward,9,initiation,"The build pipeline turns green; repetition is now trust.",core,career,practice_vs_fantasy
282,reward,9,initiation,"I can say no without anger; that is new power.",core,dating,control_vs_autonomy
283,return,10,return,"I turn the debugging playbook into onboarding material for the next engineer.",core,career,ego_vs_service
284,return,10,return,"I model clean boundaries so others feel safer to hold their own.",core,dating,ego_vs_service
285,integration,11,return,"I notice activation in the chest and choose response over reaction.",core,lmb,numbness_vs_presence
286,integration,11,return,"Discipline feels less dramatic; consistency replaces intensity.",core,fitness,intensity_vs_consistency
287,elixir,12,return,"I publish the framework I tested in private; artifacts replace performance.",core,career,practice_vs_fantasy
288,elixir,12,return,"I speak about failure without glamorizing it; clarity becomes service.",core,lmb,image_vs_integrity
289,elixir,12,return,"I help someone else ship their first uncomfortable commit.",core,career,mentorship_vs_dependence
290,approach,7,initiation,"I constrain the scope instead of expanding ambition; focus is mercy.",core,career,chaos_vs_structure
291,tests,6,initiation,"I track triggers like metrics; awareness becomes observability.",core,lmb,practice_vs_fantasy
292,ordeal,8,initiation,"I forgive myself for not knowing sooner; shame loses its leverage.",core,spiritual,domination_vs_compassion
293,reward,9,initiation,"Integrity feels lighter than image management; I choose it again.",core,spiritual,image_vs_integrity
294,return,10,return,"I carry the lesson into Monday; growth survives the calendar.",core,lmb,practice_vs_fantasy
295,elixir,12,return,"I build systems—code, habits, vows—that outlast mood swings.",core,lmb,practice_vs_fantasy
