id,stage,spoke,act,text,source,workstream,psych_axis,composite_vb
1,refusal,3,departure,I keep waiting for the perfect moment to start.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I keep waiting for the perfect moment to start.
12,call,2,departure,"I feel a pull toward a truer life, even if I can't explain it.",core,core,comfort_vs_truth,"[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I feel a pull toward a truer life, even if I can't explain it."
13,call,2,departure,A new possibility appears and I can't unsee it.,core,core,practice_vs_fantasy,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: A new possibility appears and I can't unsee it.
14,call,2,departure,I sense a mission forming: build something that matters.,core,core,ego_vs_service,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=ego_vs_service] :: I sense a mission forming: build something that matters.
15,call,2,departure,I get a signal—an invitation to level up.,core,core,practice_vs_fantasy,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I get a signal—an invitation to level up.
16,call,2,departure,I feel the discomfort that precedes change.,core,core,comfort_vs_truth,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I feel the discomfort that precedes change.
17,call,2,departure,I notice a repeating pattern and decide it ends here.,core,core,projection_vs_ownership,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=projection_vs_ownership] :: I notice a repeating pattern and decide it ends here.
18,call,2,departure,I see a path where my skills and values align.,core,core,image_vs_integrity,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=image_vs_integrity] :: I see a path where my skills and values align.
19,call,2,departure,I realize the cost of staying the same is higher than changing.,core,core,comfort_vs_truth,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I realize the cost of staying the same is higher than changing.
20,call,2,departure,I feel a quiet certainty: it's time.,core,core,certainty_vs_trust,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=certainty_vs_trust] :: I feel a quiet certainty: it's time.
21,threshold,5,departure,I take one step even while afraid.,core,core,fear_vs_action,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I take one step even while afraid.
22,threshold,5,departure,I choose action over reassurance.,core,core,certainty_vs_trust,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=certainty_vs_trust] :: I choose action over reassurance.
23,threshold,5,departure,"I send the message, ship the commit, make the call.",core,core,fear_vs_action,"[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I send the message, ship the commit, make the call."
24,threshold,5,departure,I cross the line from thinking to doing.,core,core,fear_vs_action,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I cross the line from thinking to doing.
25,threshold,5,departure,I stop negotiating with my fear and move anyway.,core,core,fear_vs_action,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I stop negotiating with my fear and move anyway.
26,threshold,5,departure,I make the first uncomfortable move and survive it.,core,core,fear_vs_action,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I make the first uncomfortable move and survive it.
27,threshold,5,departure,I accept that imperfect action is the entrance fee.,core,core,comfort_vs_truth,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I accept that imperfect action is the entrance fee.
28,threshold,5,departure,I begin before confidence arrives.,core,core,fear_vs_action,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=fear_vs_action] :: I begin before confidence arrives.
29,threshold,5,departure,I commit publicly so I can't retreat easily.,core,core,control_vs_autonomy,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=control_vs_autonomy] :: I commit publicly so I can't retreat easily.
30,threshold,5,departure,I let momentum replace motivation.,core,core,practice_vs_fantasy,[act=departure | stage=threshold | spoke=5 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I let momentum replace motivation.
31,tests,6,initiation,"I hit friction and treat it as feedback, not failure.",core,core,practice_vs_fantasy,"[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I hit friction and treat it as feedback, not failure."
32,tests,6,initiation,I learn by breaking things and fixing them.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I learn by breaking things and fixing them.
33,tests,6,initiation,I keep iterating instead of quitting.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I keep iterating instead of quitting.
34,tests,6,initiation,I notice old triggers and practice staying present anyway.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I notice old triggers and practice staying present anyway.
35,tests,6,initiation,"I refine the system: smaller steps, clearer inputs.",core,core,practice_vs_fantasy,"[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I refine the system: smaller steps, clearer inputs."
36,tests,6,initiation,I get rejected and stay on the path.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I get rejected and stay on the path.
37,tests,6,initiation,I feel resistance and choose discipline.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I feel resistance and choose discipline.
38,tests,6,initiation,I stop chasing novelty and do the boring reps.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I stop chasing novelty and do the boring reps.
39,tests,6,initiation,"I test assumptions with reality, not mood.",core,core,practice_vs_fantasy,"[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I test assumptions with reality, not mood."
40,tests,6,initiation,I build stamina for uncertainty.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I build stamina for uncertainty.
41,allies,6,initiation,I find people who make the path clearer.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I find people who make the path clearer.
42,allies,6,initiation,I ask for help without collapsing my self-respect.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I ask for help without collapsing my self-respect.
43,allies,6,initiation,I learn from mentors but keep my own compass.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I learn from mentors but keep my own compass.
44,allies,6,initiation,I let supportive people amplify my momentum.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I let supportive people amplify my momentum.
45,allies,6,initiation,I collaborate without surrendering my agency.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I collaborate without surrendering my agency.
46,allies,6,initiation,I accept guidance while owning the decisions.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I accept guidance while owning the decisions.
47,allies,6,initiation,I join a community that raises my standards.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I join a community that raises my standards.
48,allies,6,initiation,I build tools that help me think better.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I build tools that help me think better.
49,allies,6,initiation,"I surround myself with builders, not spectators.",core,core,mentorship_vs_dependence,"[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I surround myself with builders, not spectators."
50,allies,6,initiation,I choose environments that match the man I'm becoming.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I choose environments that match the man I'm becoming.
51,approach,7,initiation,I simplify the plan until it's executable.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I simplify the plan until it's executable.
52,approach,7,initiation,I focus on the one constraint that unlocks progress.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I focus on the one constraint that unlocks progress.
53,approach,7,initiation,I remove distractions that keep me fragmented.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I remove distractions that keep me fragmented.
54,approach,7,initiation,I choose a single direction and allocate energy to it.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I choose a single direction and allocate energy to it.
55,approach,7,initiation,I structure my day so the important work happens first.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I structure my day so the important work happens first.
56,approach,7,initiation,I stop seeking intensity and start seeking consistency.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I stop seeking intensity and start seeking consistency.
57,approach,7,initiation,"I measure progress with outputs, not feelings.",core,core,chaos_vs_structure,"[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I measure progress with outputs, not feelings."
58,approach,7,initiation,I decide what 'done' looks like before I begin.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I decide what 'done' looks like before I begin.
59,approach,7,initiation,I create a repeatable workflow instead of improvising daily.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I create a repeatable workflow instead of improvising daily.
60,approach,7,initiation,I move from ambition to implementation.,core,core,chaos_vs_structure,[act=initiation | stage=approach | spoke=7 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I move from ambition to implementation.
61,ordeal,8,initiation,Everything falls apart and I learn what matters.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: Everything falls apart and I learn what matters.
62,ordeal,8,initiation,I face the part of me that wants to self-sabotage.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I face the part of me that wants to self-sabotage.
63,ordeal,8,initiation,I hit a low and choose not to abandon myself.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I hit a low and choose not to abandon myself.
64,ordeal,8,initiation,I confront shame without letting it steer.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I confront shame without letting it steer.
65,ordeal,8,initiation,I stop outsourcing my worth and stand on my own.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I stop outsourcing my worth and stand on my own.
66,ordeal,8,initiation,I tolerate discomfort long enough for it to transform.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I tolerate discomfort long enough for it to transform.
67,ordeal,8,initiation,I feel grief and keep moving forward.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I feel grief and keep moving forward.
68,ordeal,8,initiation,I accept the cost of growth instead of resenting it.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I accept the cost of growth instead of resenting it.
69,ordeal,8,initiation,I let old identities die so new ones can form.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I let old identities die so new ones can form.
70,ordeal,8,initiation,I discover that I can endure more than I thought.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I discover that I can endure more than I thought.
71,reward,9,initiation,I get a win that proves the work is real.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I get a win that proves the work is real.
72,reward,9,initiation,I see evidence: the system is producing results.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I see evidence: the system is producing results.
73,reward,9,initiation,I feel pride without needing anyone else to validate it.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I feel pride without needing anyone else to validate it.
74,reward,9,initiation,I notice I'm calmer because I'm aligned.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I notice I'm calmer because I'm aligned.
75,reward,9,initiation,I earn confidence through repetition.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I earn confidence through repetition.
76,reward,9,initiation,"I experience competence: I can build, test, ship.",core,core,practice_vs_fantasy,"[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I experience competence: I can build, test, ship."
77,reward,9,initiation,I feel power that comes from integrity.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I feel power that comes from integrity.
78,reward,9,initiation,I recognize that I am becoming reliable to myself.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I recognize that I am becoming reliable to myself.
79,reward,9,initiation,I enjoy the quiet satisfaction of progress.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I enjoy the quiet satisfaction of progress.
80,reward,9,initiation,I see that my future is being built by my habits.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I see that my future is being built by my habits.
81,return,10,return,I bring what I've learned back into daily life.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I bring what I've learned back into daily life.
82,return,10,return,I stop treating growth as a phase and make it a baseline.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I stop treating growth as a phase and make it a baseline.
83,return,10,return,"I integrate the lessons into how I work, love, and live.",core,core,practice_vs_fantasy,"[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I integrate the lessons into how I work, love, and live."
84,return,10,return,I share the framework in a way that helps others.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I share the framework in a way that helps others.
85,return,10,return,I turn the insights into a practical tool.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I turn the insights into a practical tool.
86,return,10,return,I keep the standards even when no one is watching.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I keep the standards even when no one is watching.
87,return,10,return,I choose long-term alignment over short-term comfort.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I choose long-term alignment over short-term comfort.
88,return,10,return,I refine the system so it survives busy weeks.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I refine the system so it survives busy weeks.
89,return,10,return,I build a life that matches the man I claim to be.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I build a life that matches the man I claim to be.
90,return,10,return,I act like the future is already underway.,core,core,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I act like the future is already underway.
91,integration,11,return,I stop performing and start listening to myself.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I stop performing and start listening to myself.
92,integration,11,return,I can feel the difference between ego and instinct.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I can feel the difference between ego and instinct.
93,integration,11,return,I respond instead of react.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I respond instead of react.
94,integration,11,return,I let my body lead when my mind spirals.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I let my body lead when my mind spirals.
95,integration,11,return,"I treat emotions as signals, not commands.",core,core,numbness_vs_presence,"[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I treat emotions as signals, not commands."
96,integration,11,return,I hold boundaries without hostility.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I hold boundaries without hostility.
97,integration,11,return,I choose presence over tactics.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I choose presence over tactics.
98,integration,11,return,I trust myself more because I keep promises to myself.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I trust myself more because I keep promises to myself.
99,integration,11,return,I can be intense without being compulsive.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I can be intense without being compulsive.
100,integration,11,return,I become congruent: my values and actions match.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I become congruent: my values and actions match.
101,elixir,12,return,I return with something useful for others.,core,core,practice_vs_fantasy,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I return with something useful for others.
102,elixir,12,return,I turn my story into a tool someone else can use.,core,core,image_vs_integrity,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=image_vs_integrity] :: I turn my story into a tool someone else can use.
103,elixir,12,return,I explain the path without pretending it's easy.,core,core,fear_vs_action,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=fear_vs_action] :: I explain the path without pretending it's easy.
104,elixir,12,return,"I teach what I practiced, not what I fantasized.",core,core,control_vs_autonomy,"[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=control_vs_autonomy] :: I teach what I practiced, not what I fantasized."
105,elixir,12,return,"I build artifacts—code, notes, systems—that outlast moods.",core,core,practice_vs_fantasy,"[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I build artifacts—code, notes, systems—that outlast moods."
106,elixir,12,return,I model grounded confidence instead of selling hype.,core,core,chaos_vs_structure,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=chaos_vs_structure] :: I model grounded confidence instead of selling hype.
107,elixir,12,return,I help others cross their threshold with clarity.,core,core,ego_vs_service,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=ego_vs_service] :: I help others cross their threshold with clarity.
108,elixir,12,return,I contribute work that proves my competence.,core,core,domination_vs_compassion,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=domination_vs_compassion] :: I contribute work that proves my competence.
109,elixir,12,return,I share the map while honoring each person's journey.,core,core,certainty_vs_trust,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=certainty_vs_trust] :: I share the map while honoring each person's journey.
110,elixir,12,return,I leave something behind that makes the world slightly better.,core,core,image_vs_integrity,[act=return | stage=elixir | spoke=12 | source=core | workstream=core | psych_axis=image_vs_integrity] :: I leave something behind that makes the world slightly better.
111,refusal,3,departure,"I sense the world is staged, but I can’t yet name what’s wrong.",matrix,story,projection_vs_ownership,"[act=departure | stage=refusal | spoke=3 | source=matrix | workstream=story | psych_axis=projection_vs_ownership] :: I sense the world is staged, but I can’t yet name what’s wrong."
112,call,2,departure,"A stranger offers a choice: comfort in the story, or truth with consequences.",matrix,story,fear_vs_action,"[act=departure | stage=call | spoke=2 | source=matrix | workstream=story | psych_axis=fear_vs_action] :: A stranger offers a choice: comfort in the story, or truth with consequences."
113,threshold,5,departure,I choose the red pill: I’d rather know than cope.,matrix,story,attachment_vs_love,[act=departure | stage=threshold | spoke=5 | source=matrix | workstream=story | psych_axis=attachment_vs_love] :: I choose the red pill: I’d rather know than cope.
114,threshold,5,departure,The old reality breaks; I realize I was living inside an operating system.,matrix,story,practice_vs_fantasy,[act=departure | stage=threshold | spoke=5 | source=matrix | workstream=story | psych_axis=practice_vs_fantasy] :: The old reality breaks; I realize I was living inside an operating system.
115,tests,6,initiation,I accept that freedom feels like fear at first.,matrix,story,control_vs_autonomy,[act=initiation | stage=tests | spoke=6 | source=matrix | workstream=story | psych_axis=control_vs_autonomy] :: I accept that freedom feels like fear at first.
116,tests,6,initiation,I train daily: repetition turns chaos into skill.,matrix,story,ego_vs_discipline,[act=initiation | stage=tests | spoke=6 | source=matrix | workstream=story | psych_axis=ego_vs_discipline] :: I train daily: repetition turns chaos into skill.
117,tests,6,initiation,I meet resistance that wants me asleep; I stop negotiating with it.,matrix,story,image_vs_integrity,[act=initiation | stage=tests | spoke=6 | source=matrix | workstream=story | psych_axis=image_vs_integrity] :: I meet resistance that wants me asleep; I stop negotiating with it.
118,tests,6,initiation,"I learn to read the code: patterns, incentives, and hidden rules.",matrix,story,ego_vs_service,"[act=initiation | stage=tests | spoke=6 | source=matrix | workstream=story | psych_axis=ego_vs_service] :: I learn to read the code: patterns, incentives, and hidden rules."
119,approach,7,initiation,I stop asking ‘am I ready?’ and start asking ‘what’s the next move?’,matrix,story,comfort_vs_truth,[act=initiation | stage=approach | spoke=7 | source=matrix | workstream=story | psych_axis=comfort_vs_truth] :: I stop asking ‘am I ready?’ and start asking ‘what’s the next move?’
120,integration,11,return,I become the kind of person who can hold truth without collapsing.,matrix,story,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=matrix | workstream=story | psych_axis=numbness_vs_presence] :: I become the kind of person who can hold truth without collapsing.
121,refusal,3,departure,I feel numb in a life that looks fine on paper.,fight_club,story,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=fight_club | workstream=story | psych_axis=fear_vs_action] :: I feel numb in a life that looks fine on paper.
122,refusal,3,departure,I notice I’m buying an identity instead of building one.,fight_club,story,image_vs_integrity,[act=departure | stage=refusal | spoke=3 | source=fight_club | workstream=story | psych_axis=image_vs_integrity] :: I notice I’m buying an identity instead of building one.
123,call,2,departure,I meet a shadow-teacher: the part of me that refuses to be domesticated.,fight_club,story,practice_vs_fantasy,[act=departure | stage=call | spoke=2 | source=fight_club | workstream=story | psych_axis=practice_vs_fantasy] :: I meet a shadow-teacher: the part of me that refuses to be domesticated.
124,threshold,5,departure,I choose pain over numbness; sensation becomes a doorway back to myself.,fight_club,story,projection_vs_ownership,[act=departure | stage=threshold | spoke=5 | source=fight_club | workstream=story | psych_axis=projection_vs_ownership] :: I choose pain over numbness; sensation becomes a doorway back to myself.
125,tests,6,initiation,I learn the difference between performance and presence.,fight_club,story,ego_vs_discipline,[act=initiation | stage=tests | spoke=6 | source=fight_club | workstream=story | psych_axis=ego_vs_discipline] :: I learn the difference between performance and presence.
126,tests,6,initiation,"I stop outsourcing my meaning to approval, status, or romance.",fight_club,story,control_vs_autonomy,"[act=initiation | stage=tests | spoke=6 | source=fight_club | workstream=story | psych_axis=control_vs_autonomy] :: I stop outsourcing my meaning to approval, status, or romance."
127,ordeal,8,initiation,I face the split inside: the actor vs the one who actually wants.,fight_club,story,domination_vs_compassion,[act=initiation | stage=ordeal | spoke=8 | source=fight_club | workstream=story | psych_axis=domination_vs_compassion] :: I face the split inside: the actor vs the one who actually wants.
128,integration,11,return,I take responsibility for my shadow instead of letting it run the show.,fight_club,story,certainty_vs_trust,[act=return | stage=integration | spoke=11 | source=fight_club | workstream=story | psych_axis=certainty_vs_trust] :: I take responsibility for my shadow instead of letting it run the show.
129,approach,7,initiation,"I build discipline: small acts of integrity, repeated, become identity.",fight_club,story,image_vs_integrity,"[act=initiation | stage=approach | spoke=7 | source=fight_club | workstream=story | psych_axis=image_vs_integrity] :: I build discipline: small acts of integrity, repeated, become identity."
